size,bedrooms,age,price
218,2,77,465098
88,2,39,203942
43,3,73,134098
233,6,25,598490
154,1,89,297282
91,5,100,258345
207,5,54,519542
65,5,82,223381
36,4,62,140658
251,3,81,549664
108,4,22,314296
168,5,68,439643
268,4,93,608214
167,3,31,389439
172,4,31,436827
224,3,3,527997
196,2,62,414150
211,3,43,478963
171,5,1,473528
127,1,30,270317
280,5,97,644074
273,6,91,665683
259,1,11,538241
143,4,88,348772
186,6,74,494492
272,5,67,643464
247,6,70,616839
210,6,58,545677
186,3,29,429353
128,3,15,332559
124,2,27,293066
171,6,75,469191
174,1,24,363107
146,3,22,358104
37,6,68,190947
170,1,6,370732
179,6,16,507685
82,1,73,159117
270,4,56,618764
124,1,32,265854
88,1,51,186713
67,5,80,218756
107,2,72,235156
73,2,15,198286
243,5,76,577995
297,4,57,675707
182,5,54,467406
60,5,94,200651
136,6,27,409871
71,2,30,175695
68,2,0,189386
260,6,76,644998
179,1,29,370840
174,6,58,467132
149,3,100,342326
131,4,14,364244
145,6,19,431104
102,1,7,221636
187,5,95,469651
177,4,15,453358
185,6,51,498520
286,5,63,676144
71,5,5,269156
195,5,32,493047
76,2,86,176448
40,6,34,225282
50,2,60,133005
256,3,23,586980
253,6,62,624189
270,3,52,595121
194,6,13,528069
198,4,88,467035
177,6,51,491625
48,4,11,191906
159,3,14,390644
293,1,84,585179
266,4,6,625746
295,3,79,639734
256,1,26,525350
97,3,56,252483
92,1,80,186951
152,6,20,446182
37,5,52,171254
145,1,59,285249
108,4,91,279163
290,6,34,720014
277,4,31,646567
104,4,24,308040
290,6,17,715487
171,4,43,431437
166,1,36,342383
280,2,57,594848
277,3,42,620285
223,4,41,525781
152,5,49,407053
240,1,40,494498
225,4,84,511384
283,1,16,591059
199,1,56,393867
299,4,1,692323
239,6,19,612851
270,3,43,600824
71,3,86,190085
224,3,80,496989
48,5,8,215492
177,2,95,358961
252,1,97,483493
257,2,88,528612
44,1,41,88438
180,3,47,420312
104,2,67,234702
122,2,22,277787
225,5,87,538091
284,5,18,683408
266,6,32,674259
160,6,1,474845
177,6,69,471576
67,4,44,225653
183,6,54,492595
263,3,25,593605
277,1,30,569496
213,5,37,535874
41,6,50,210994
34,5,87,149807
284,3,99,600940
210,2,81,433830
158,6,96,422081
79,6,82,266491
188,4,4,483391
216,6,16,568553
181,3,95,402615
119,2,16,289275
217,5,64,532330
114,3,61,278271
203,1,59,399867
102,2,86,222622
217,1,50,429456
165,5,15,453902
218,6,95,546590
225,6,47,574750
149,4,3,405196
197,5,28,499871
267,6,38,672179
89,2,5,217219
185,4,14,457584
150,5,17,420935
262,3,85,572701
244,5,95,570063
242,6,12,635234
238,3,4,551541
141,4,56,357336
215,1,87,422236
213,1,50,430040
127,1,58,248803
138,6,81,403167
40,1,100,65928
154,2,100,326500
135,1,97,264360
136,5,27,383834
198,2,100,415529
31,3,18,124059
158,2,14,351244
97,1,45,198796
195,1,22,404895
56,2,94,128194
299,1,95,577082
273,4,99,608263
292,5,13,708611
287,2,78,584220
296,3,58,634820
61,4,51,205568
85,4,91,238134
67,1,41,152532
105,1,16,227611
196,4,76,468985
180,4,64,444238
250,1,89,483149
140,4,57,354687
241,3,58,536865
242,6,12,629441
248,3,85,535352
221,2,87,462740
64,1,10,142054
251,1,95,491210
96,5,7,323417
198,6,15,543461
211,6,96,537458
56,3,76,156838
210,1,73,422426
138,2,84,298200
144,1,44,303627
218,1,97,421328
145,4,71,369843
43,5,84,176163
44,2,34,124524
203,3,0,476944
103,5,84,300532
65,2,94,133404
76,6,67,272249
222,4,58,521970
110,3,39,280029
73,1,19,158558
55,6,10,254916
256,6,54,646314
256,4,34,595463
292,1,44,595487
86,3,86,222035
279,5,85,649106
53,2,50,145638
58,1,26,130476
138,2,97,285572
178,3,15,415253
284,6,55,691757
96,4,68,262340
286,5,85,664605
66,4,94,185786
253,1,58,500351
190,5,54,492189
237,6,81,595286
178,1,51,351283
196,2,79,415476
215,1,55,426468
154,4,75,381121
298,1,50,601167
203,2,42,434709
69,5,81,224336
291,2,99,593848
209,6,82,530039
150,1,18,316187
131,2,77,276209
68,2,98,152991
267,5,97,629188
259,6,72,639790
191,2,56,401837
270,4,80,607922
170,5,7,463732
289,1,39,592530
261,1,7,546282
176,1,82,337158
289,4,59,663416
51,4,73,168968
194,5,60,495428
107,1,57,209591
205,6,10,562533
118,1,31,252944
254,5,66,616582
111,3,47,277469
228,4,99,517487
56,6,82,230165
63,3,12,204483
227,3,32,525949
106,3,10,292095
102,3,39,266243
96,5,90,273776
188,5,48,482563
95,6,89,311648
77,6,85,273874
290,3,2,656081
188,2,27,416397
278,2,28,589307
109,1,37,221514
289,5,94,672653
49,6,43,225094
222,2,20,481925
114,6,56,347031
240,3,86,518383
257,5,36,629310
149,5,30,411140
270,2,47,579891
255,4,98,570033
225,5,67,551918
112,2,77,237735
158,1,82,313947
220,5,13,566705
93,3,10,252253
169,4,65,406828
253,1,28,524582
208,1,53,411545
232,5,47,567925
227,1,47,457557
44,3,12,159186
104,2,4,255800
271,6,17,690571
259,5,0,635596
39,3,27,137099
300,4,14,693840
151,3,15,362564
152,4,81,376578
62,1,63,133353
38,6,65,208843
153,6,18,448344
249,1,78,493361
153,5,53,405937
73,5,46,244817
299,5,64,704033
40,4,60,147426
228,3,32,508732
212,1,44,429301
83,5,94,254295
98,1,45,210891
203,6,22,552424
275,6,23,685218
62,6,99,239397
48,3,25,152435
132,1,40,273160
293,4,69,663912
159,1,96,300862
176,3,99,378966
199,3,15,469059
253,4,95,572409
227,3,23,526059
284,3,66,615339
72,6,54,264986
250,5,23,623674
180,3,13,422423
197,6,37,529243
258,5,91,608562
115,6,56,359119
258,1,93,505352
252,3,81,538479
68,6,81,256910
216,5,95,514242
45,2,77,113558
47,2,8,138533
217,3,49,497987
46,5,19,214143
219,3,56,483119
100,5,46,309642
190,6,35,514179
88,1,94,159496
285,5,49,683804
90,3,99,213929
258,2,78,534157
281,2,15,600447
67,4,22,229785
74,6,40,283384
63,5,69,222914
183,2,91,375304
215,5,28,537776
132,2,30,308188
43,3,70,141752
218,4,70,502252
74,1,39,160446
275,5,52,657616
67,2,40,160430
260,4,87,592152
206,2,99,430465
123,2,55,280477
58,1,66,109614
185,2,20,412572
145,3,66,337907
70,3,25,213049
170,2,80,357922
77,5,82,241725
108,2,84,242229
202,5,5,517929
71,1,82,143099
165,6,26,478347
243,5,81,569592
284,6,69,689891
184,4,31,458906
182,4,9,452363
110,4,53,304667
267,2,43,576679
103,3,91,245063
206,4,16,507741
293,5,13,706256
153,4,15,398764
260,2,18,555972
55,3,49,169101
157,2,41,356529
190,2,97,386421
285,5,59,677743
187,4,2,466150
231,5,58,561688
140,5,45,378594
55,3,63,169379
270,3,68,578067
85,4,17,261866
217,4,46,507082
235,1,72,474609
129,3,70,304456
67,4,64,213157
173,5,87,430093
95,1,50,197228
203,5,46,507327
131,5,65,364152
286,1,5,586275
100,6,42,338723
295,4,19,692265
293,2,41,620037
113,4,78,294605
202,5,65,510443
280,6,72,681023
273,1,47,553054
86,4,74,242481
43,5,60,185700
146,6,6,448720
275,2,67,575658
105,6,31,338634
86,2,2,225651
190,4,19,475931
134,4,64,347853
61,6,17,272196
136,5,41,386275
299,4,40,677674
265,5,43,645700
211,6,98,531462
277,2,31,590742
182,2,38,398270
136,6,90,392023
192,4,44,474766
170,3,15,417791
224,4,44,525199
178,1,36,359189
207,4,83,479203
275,2,25,597648
168,5,89,424300
100,1,78,203029
152,2,6,359001
145,6,29,420120
81,4,42,250679
81,6,98,267304
32,5,20,184333
273,4,83,609335
177,3,36,406538
75,6,73,268409
49,2,53,122560
48,4,100,162232
125,6,37,376427
34,3,72,123951
84,3,36,233488
298,4,17,695722
269,3,24,597091
199,2,93,415837
161,6,23,453261
202,3,72,446529
119,5,81,333887
248,5,41,597442
235,6,12,611254
101,4,41,283728
33,3,49,119117
258,3,42,574094
35,3,83,113581
150,1,85,284873
268,3,20,606284
287,6,98,684990
90,6,37,317243
143,2,17,334869
108,4,95,287848
221,4,89,514397
271,5,85,630156
156,6,96,433123
71,5,57,251507
215,1,72,419876
61,5,64,218024
106,2,41,252650
256,1,87,498930
280,1,65,563597
58,4,16,216418
242,4,72,547091
266,6,39,657113
232,3,0,536140
67,1,54,138689
62,5,7,238461
271,1,36,555997
122,2,98,258574
221,4,57,521569
222,1,87,441871
98,6,44,322287
121,5,50,354329
95,6,28,318913
41,3,59,141240
247,5,48,597325
156,4,44,389483
171,2,92,348897
46,6,53,211312
153,2,8,346106
47,4,76,155195
155,6,5,461181
254,2,69,527519
58,2,64,139878
149,6,73,419249
194,2,38,417494
296,2,52,621046
170,1,71,345987
119,6,86,357598
283,1,44,575889
298,3,89,639042
239,2,38,515135
124,5,60,346896
145,3,90,323730
267,1,71,534122
243,5,67,578593
228,2,32,489862
199,6,10,548738
219,1,68,432041
56,3,48,177623
50,1,24,124653
141,4,26,372510
185,1,27,380426
90,6,96,297293
154,6,77,423901
233,2,70,488538
174,4,59,431886
213,3,33,489584
292,4,59,653631
270,3,26,606747
190,4,5,486432
143,6,18,419331
163,5,74,430377
243,3,19,549828
198,2,48,435470
155,4,70,383061
161,4,92,391275
265,2,93,544340
116,2,92,253109
280,2,69,574324
298,1,9,608989
33,4,17,156783
64,6,19,260699
141,5,58,386029
60,5,81,218433
279,1,0,590439
240,1,2,511547
170,5,36,441161
287,6,86,693709
121,1,12,269383
106,2,24,259650
159,3,34,382405
70,3,51,199640
154,6,28,446629
71,6,83,249838
77,4,48,237159
273,1,81,528909
117,1,63,238018
199,5,12,525506
51,2,27,149772
273,3,5,611436
173,5,72,433278
121,3,2,312988
103,6,50,328521
183,2,72,385079
229,6,69,581270
226,6,17,587769
286,6,44,696159
80,4,29,240890
204,5,98,503316
233,3,3,538756
260,4,29,610059
222,4,23,543997
224,1,98,433478
156,6,9,451088
167,2,48,359855
229,3,46,508091
76,1,39,165973
214,3,13,492141
74,2,55,180707
292,4,13,669660
75,3,70,190049
196,4,1,491163
241,4,99,535175
154,5,66,402156
224,2,17,490011
184,3,63,412581
62,2,55,151042
245,3,61,533120
214,3,31,496846
130,4,13,349239
185,1,50,375886
224,3,56,501568
250,6,76,614060
183,3,77,406781
275,3,22,619249
193,3,94,429489
154,3,48,362984
231,3,14,539876
132,5,69,357295
43,6,59,209269
254,3,88,540066
239,6,63,597360
185,2,32,402250
246,4,9,593115
275,5,51,662110
289,6,53,714614
48,3,89,142993
73,1,98,129934
211,2,82,430651
234,3,55,514471
35,1,33,79074
291,6,66,713884
143,4,47,370016
267,6,75,660399
107,3,3,293619
83,3,53,212613
89,6,18,322214
189,3,58,426578
296,4,44,680002
79,4,92,226025
193,1,38,387264
88,1,43,177383
114,6,31,372508
119,5,20,355845
248,4,29,587672
124,2,81,269760
232,1,94,447865
260,5,54,626141
32,6,27,199943
172,6,8,499718
82,5,23,281786
196,2,58,412534
164,6,62,460492
190,5,49,488262
88,3,45,238003
118,6,90,349746
73,6,17,289462
90,2,39,208232
123,3,88,280432
291,4,53,670343
100,5,49,309262
125,4,81,325208
118,5,21,358644
177,2,23,395108
260,5,6,644364
34,4,17,157593
226,5,64,557619
239,6,62,606819
257,4,21,598308
45,2,37,116271
170,2,68,362259
116,4,72,309430
291,1,73,571542
167,5,46,448361
51,6,56,237502
141,4,13,374911
182,1,57,364811
208,1,56,412446
151,2,94,323665
209,6,78,540830
114,5,17,342970
135,1,72,267695
173,5,68,439317
195,6,37,524680
166,5,86,415720
99,4,7,294287
94,6,16,329781
104,6,41,339711
231,4,18,563721
167,6,53,465093
261,1,81,507650
236,5,95,558116
218,4,62,511924
31,6,11,212622
213,1,68,426832
141,4,27,377410
167,3,36,395667
96,5,62,293463
54,1,12,133259
38,1,20,97460
263,1,54,526029
97,6,38,324009
170,1,83,333610
158,1,47,317623
56,4,80,180010
149,4,83,357788
78,1,27,175824
69,2,75,155411
295,6,56,707904
34,6,43,194751
246,6,16,641253
66,2,49,155327
82,1,40,175044
183,2,48,391162
103,1,67,212657
34,5,83,155177
255,3,92,545181
107,4,78,287296
141,1,12,296787
93,5,93,276383
209,4,40,496581
156,3,82,346960
157,5,76,418261
175,6,3,498684
135,5,77,370896
126,6,50,381684
57,2,63,141444
87,2,63,208261
66,5,1,258432
192,2,49,423024
245,3,69,533061
271,1,2,575446
64,1,33,136869
50,1,50,111600
176,6,91,472018
242,4,89,551581
72,6,68,274417
108,3,10,287155
70,5,26,249691
197,4,75,456166
188,6,55,501819
59,2,11,167837
89,4,78,256750
58,3,85,152755
91,1,90,165496
35,2,63,96160
297,5,100,677495
115,3,16,297406
90,1,42,192268
169,5,8,458416
69,4,58,221537
214,1,63,436375
115,3,20,295359
82,5,86,248379
146,6,65,406084
52,1,31,108106
271,3,49,592317
121,1,70,242741
144,3,31,354239
193,3,9,466128
220,1,64,431125
121,2,66,257104
235,1,59,470650
189,3,11,456723
263,1,47,528775
179,5,100,442958
154,4,47,398588
282,2,93,584709
155,2,0,363436
42,2,69,107751
34,3,0,145329
187,1,26,395960
151,4,62,369162
102,6,35,333048
52,2,66,131135
220,4,95,494782
78,5,17,277122
68,5,72,224240
252,6,16,645358
179,3,40,419876
197,3,57,445111
149,1,25,307460
85,2,13,210186
260,4,40,607320
91,5,45,285803
261,3,59,572083
91,1,20,198968
50,2,41,128460
76,6,31,291256
232,5,6,586392
163,2,3,378051
261,5,95,617026
157,1,59,308739
101,1,1,218620
143,2,25,329126
220,6,80,550753
162,1,2,340312
131,6,56,383820
77,3,15,214399
266,1,21,557405
251,6,50,638257
45,4,87,159180
118,3,27,296332
170,3,57,387070
47,5,79,185453
181,4,52,449244
275,1,11,569767
226,2,53,477335
299,2,80,623814
39,4,100,139767
275,5,100,640881
206,5,64,511938
228,3,23,512654
193,5,28,490760
173,1,60,354348
213,5,29,534630
81,2,84,176302
166,5,94,411232
142,5,49,391026
118,2,30,283415
192,6,89,500156
44,6,89,203923
102,5,24,325529
188,2,62,392443
76,1,29,175115
142,1,67,287862
30,3,78,100401
96,3,91,226415
195,1,2,409040
102,1,67,204156
67,3,90,175962
81,3,38,222371
99,2,93,215115
279,6,40,687708
212,2,85,449298
119,4,39,322050
95,2,93,192858
230,5,4,579366
192,5,28,506331
83,4,18,259651
69,2,44,170869
115,6,11,376601
258,1,33,524670
157,6,8,462284
161,1,92,300241
54,4,56,189351
115,4,63,307209
209,5,48,517123
275,5,83,639191
113,4,9,313494
180,1,40,367556
83,1,43,169374
222,2,93,449257
77,3,76,204418
45,4,83,152206
252,2,6,544918
199,2,24,441811
165,6,36,465345
151,1,6,327474
281,2,6,611423
31,4,11,157251
275,2,12,586043
135,2,81,287162
71,4,14,236504
233,4,62,539883
76,6,69,277098
124,3,48,305904
125,4,5,346627
255,4,33,594213
167,5,7,451152
79,1,85,150265
241,5,29,603540
61,4,66,199317
273,5,30,664606
183,1,50,362137
287,5,66,681326
105,1,96,201314
118,2,27,271515
94,1,54,183967
252,2,80,516845
162,3,93,353995
74,4,71,222620
196,3,66,445612
36,6,79,199653
297,4,14,691980
106,2,72,242465
81,1,72,151509
176,5,44,462864
165,4,83,402711
272,1,22,559224
236,2,79,500344
235,1,50,475862
151,1,95,294571
167,3,2,409271
185,3,35,437109
80,2,17,203046
256,3,34,577056
75,2,56,174526
238,6,62,608124
221,1,65,436209
63,3,90,171606
236,2,99,489579
44,2,24,124977
59,2,4,171356
55,3,90,145524
170,3,59,397951
233,6,15,601001
153,3,62,365665
258,2,60,551230
209,3,20,483475
76,3,3,228466
55,2,73,127822
143,6,28,421574
167,6,52,470019
40,6,1,235135
97,6,22,344898
34,2,32,115134
186,6,90,485023
246,4,44,579440
159,2,59,344300
296,5,50,706152
82,1,65,165262
174,3,87,381742
276,1,43,558859
196,3,33,453590
126,2,66,273474
59,5,51,223072
101,6,3,357097
181,3,53,419057
228,6,4,613504
127,3,92,289486
273,6,45,684623
183,2,84,390692
122,3,12,319626
95,6,33,335118
123,6,42,372126
143,3,28,349862
245,3,47,544738
180,4,15,459418
57,6,74,243415
66,4,24,228799
91,6,48,320161
182,4,6,456540
100,2,43,236208
264,2,40,557909
71,4,42,220994
190,6,7,517354
261,3,26,582124
111,4,100,274884
96,5,55,299070
236,4,61,550160
32,1,68,58334
221,1,41,458000
127,1,86,234735
157,2,88,330083
189,2,13,425368
287,5,39,678872
63,1,38,135329
263,6,66,659141
298,3,55,643384
205,4,45,488174
114,4,2,324684
144,6,16,428520
41,5,64,176937
93,3,91,215824
222,6,32,588722
54,5,6,224142
40,1,88,63594
243,4,48,560849
159,4,89,377417
135,6,87,375504
184,4,84,427708
296,3,79,645245
100,4,13,301563
90,3,14,242882
284,2,77,583745
164,5,25,444728
239,3,20,536291
284,2,88,588550
199,2,0,438417
75,1,73,151990
106,1,99,204167
68,6,92,242519
161,6,29,465366
181,3,59,405041
81,2,5,209521
214,6,40,565959
89,1,97,155703
34,2,84,79987
198,3,56,447391
77,3,43,207792
88,4,51,260559
169,4,88,408471
245,6,21,625304
97,6,92,299121
111,1,53,235157
277,5,86,648957
122,5,48,351550
44,6,93,195081
277,4,14,651876
255,1,8,530372
190,1,90,376197
144,6,43,427809
297,6,89,701520
251,6,93,612945
276,3,84,596011
106,5,78,297588
35,6,20,218566
270,4,21,624053
281,3,30,625842
172,1,64,340697
223,4,30,526583
265,4,73,605483
75,4,57,227556
90,4,95,232582
82,4,52,234374
30,1,77,54181
290,5,26,699549
204,3,6,477904
262,3,71,580259
272,6,84,662304
261,1,12,539466
31,3,45,118567
297,3,89,626883
53,2,63,125402
239,1,32,486619
126,1,50,254064
264,2,91,542673
85,4,5,277294
93,4,58,272110
288,2,63,590942
54,5,55,220173
277,5,99,635206
118,6,16,372993
228,6,76,585462
194,5,49,497118
157,3,50,370234
180,4,17,447727
241,5,89,578186
183,6,70,488286
141,2,26,321121
206,6,16,551426
287,5,88,664363
89,3,71,230340
243,6,95,605494
176,4,1,458728
84,1,48,168562
57,6,7,257750
166,2,36,365810
104,1,88,197471
134,5,4,393153
261,1,78,524211
144,6,82,413591
229,2,65,481425
54,4,49,192050
190,5,6,493024
158,2,79,338918
145,6,90,406050
130,6,24,400039
259,2,87,525640
125,2,94,269237
91,4,5,284041
172,5,33,450062
112,5,32,326384
199,4,90,457072
50,2,41,143158
56,6,78,230668
281,5,70,660733
67,6,40,275216
142,2,66,299834
288,2,53,612595
236,1,44,476648
139,6,42,412048
214,3,27,499583
273,5,96,622888
88,6,44,313003
153,6,78,422789
50,6,41,236096
88,4,32,270902
174,1,66,348886
293,5,57,694151
52,3,83,142108
194,5,10,502144
115,5,68,318040
63,2,85,138985
247,1,26,516221
252,6,9,645438
42,4,91,148469
49,1,9,111178
121,3,71,280908
146,3,52,348915
260,6,51,653789
191,1,49,381276
33,6,92,171272
53,6,9,254121
287,1,37,584074
74,3,97,188541
225,4,84,507409
272,2,68,564004
99,6,50,335882
181,6,18,504566
221,1,70,447188
102,1,5,217164
231,5,70,551789
186,2,95,385267
138,4,82,349995
102,2,23,242034
159,2,14,358342
57,5,59,223411
67,3,85,167207
158,1,25,340024
279,3,45,609201
150,1,36,302887
129,3,62,312966
198,5,84,487416
108,5,72,314143
191,4,21,463758
190,2,100,387258
253,3,46,557000
199,4,59,478993
213,3,62,484277
85,2,82,197077
71,3,17,217849
130,3,93,290305
68,1,64,126422
237,5,27,579401
163,5,69,428869
106,3,50,264317
178,2,59,388820
291,1,50,588923
287,1,84,563227
114,5,17,350821
111,2,72,251740
104,6,93,326643
213,1,28,445779
148,1,33,309905
149,1,85,285775
295,3,49,650790
262,1,5,547619
82,6,66,286561
164,5,69,434083
119,4,83,307203
217,5,83,518350
294,3,48,641103
294,4,45,671306
279,4,77,617416
286,2,56,595026
147,1,65,292201
138,2,23,311956
215,5,91,512477
147,4,42,370913
276,6,61,683296
137,5,20,394464
41,2,5,124190
112,2,80,248798
50,5,18,209632
115,3,23,302729
237,5,72,560810
175,1,27,368919
271,4,21,630788
240,5,18,606892
123,5,84,344138
165,2,92,344428
262,5,75,611255
147,4,49,368732
85,1,25,192128
288,6,53,699700
79,2,60,193654
49,5,64,191250
77,4,84,214670
30,6,83,180939
297,4,47,666623
249,2,61,526092
209,5,94,514278
80,4,17,251540
274,2,10,593282
239,3,24,533579
33,5,66,158461
296,1,48,594531
191,4,46,457092
109,4,83,293981
159,3,68,369679
217,5,35,548023
134,4,70,348270
277,2,47,593520
277,3,39,622328
206,6,50,536524
90,6,29,323034
112,1,27,244857
235,3,70,508705
112,4,81,281773
76,2,60,187668
252,1,8,524420
143,3,10,366956
49,6,49,231528
296,3,91,640177
59,2,81,141799
254,1,25,529978
176,2,4,410044
291,5,89,668991
116,6,4,382187
152,6,0,449159
74,3,99,186488
210,6,50,553285
132,5,1,380848
76,5,36,270921
208,3,35,474415
129,4,51,346438
32,3,22,133540
289,1,71,566971
287,3,43,625634
292,3,68,640638
158,6,56,445956
277,2,96,566730
264,6,58,664029
44,4,14,180848
64,4,81,192821
147,3,52,349770
294,5,1,711229
157,3,11,387672
205,1,70,402848
273,3,45,600161
167,2,95,342231
285,6,25,707695
153,3,26,368110
133,2,79,286066
109,1,15,229571
282,5,0,696743
51,4,47,183535
282,5,35,681082
123,5,35,360037
143,5,16,396374
299,4,61,681319
46,5,44,202301
119,4,15,338980
265,3,88,560075
36,6,26,214033
81,3,46,217109
125,5,33,359570
167,4,78,404042
217,2,63,462691
137,4,89,340599
216,4,35,522769
122,5,16,371470
147,1,92,281045
150,5,55,405480
130,2,94,267300
272,1,22,564012
285,2,80,594941
191,4,38,465023
54,4,12,198552
60,2,32,162815
79,4,95,220966
163,3,46,390961
161,3,2,399692
92,3,86,234443
131,5,73,365443
119,3,45,295652
291,4,99,647045
70,4,78,208188
267,6,18,672291
202,4,80,480731
237,1,10,490308
205,2,40,444383
179,6,34,504237
232,3,56,518500
296,4,52,666682
124,1,16,264288
158,6,89,423023
137,2,50,297375
78,1,60,164971
57,1,98,102809
298,1,13,614400
109,1,83,212574
188,2,31,412911
256,6,16,649901
299,2,3,637951
212,3,60,480308
169,5,56,435027
120,5,76,339560
252,5,81,604091
188,3,61,434283
146,1,56,294688
217,4,33,515902
185,1,0,402148
99,3,36,263974
34,6,62,198832
183,1,98,355904
179,5,29,461636
221,2,52,479568
253,4,31,588950
229,4,28,545417
70,4,80,205849
294,5,88,676708
175,6,95,469430
167,4,24,416643
123,2,37,274816
263,5,57,627117
281,2,41,586235
107,1,68,202525
125,1,36,259420
94,6,56,305868
149,1,19,305882
282,2,43,600570
189,4,47,464394
46,3,10,157787
58,3,99,154258
66,5,60,228950
128,3,48,302213
92,6,31,324209
256,2,94,515498
131,4,94,317478
296,6,26,737093
229,6,39,592986
111,6,93,326182
296,1,32,609968
182,2,46,387306
141,1,30,299226
196,1,21,407647
91,4,31,259892
51,5,100,192573
109,3,98,246732
157,2,63,331795
203,6,7,545158
212,6,19,573975
84,2,62,190824
192,5,100,470380
254,6,24,639099
223,3,92,478614
158,1,62,320536
180,5,89,455459
127,5,23,377613
208,3,93,459148
170,5,70,432254
65,5,19,252125
181,3,69,411429
262,1,99,515979
224,6,23,579413
216,5,30,545508
62,6,68,249497
127,5,87,350503
108,5,36,327170
239,6,41,605219
79,5,84,241584
52,2,22,136224
133,1,62,262478
80,1,73,158533
280,5,79,662742
161,1,46,325832
66,1,26,152702
70,4,81,199589
214,5,95,518629
218,6,7,581910
300,1,93,580106
185,1,27,391222
79,1,92,143769
227,2,24,501642
157,5,80,402862
242,6,13,637692
213,6,58,556794
83,2,23,214821
235,5,43,572983
256,3,40,579025
196,3,52,450309
195,5,30,511453
139,4,98,346830
160,3,57,376863
233,1,92,445335
175,5,2,481161
99,3,0,272841
143,2,40,310711
171,5,65,449229
109,1,4,246485
212,2,17,465883
217,5,31,544234
161,3,11,401293
234,5,27,574729
196,4,22,489199
78,5,82,248043
49,6,73,221302
70,1,98,126757
208,4,53,488749
146,6,83,418536
35,6,99,182933
57,3,67,153549
193,5,72,477101
197,5,89,480635
108,1,86,209473
258,5,73,618338
76,2,55,179495
231,2,16,506615
72,4,73,206415
234,3,10,542058
286,4,99,626672
99,4,71,266091
279,4,83,633521
130,5,78,360978
156,2,9,357124
250,3,87,549074
75,1,85,144552
246,3,44,545641
194,3,76,423393
186,2,44,408890
104,4,5,303650
132,6,47,390311
73,1,94,125187
154,5,18,425226
37,3,88,107446
186,4,60,438745
199,2,94,418029
138,2,69,305546
162,5,61,419231
39,4,74,155662
52,3,21,162569
175,2,89,363289
57,4,83,171073
64,4,84,193290
214,1,2,451784
227,2,48,491463
80,3,62,219765
75,2,25,196405
