"Invoice ID","Branch","City","Customer type","Gender","Product line","Unit price","Quantity","Tax 5%","Total","Date","Time","Payment","Cost of goods sold","Gross margin percentage","Gross income","Rating"
"521-12-8027","C","Naypyitaw","Member","Male","Sports and travel","83,26","9","37,467","786,807","2019-01-07","13:21","Ewallet","749,34","4,761904762","37,467","6,6"
"323-12-9810","C","Naypyitaw","Normal","Female","Sports and travel","25,2","6","7,56","158,76","2019-02-28","20:15","Credit card","151,2","4,761904762","7,56","8,4"
"391-29-6212","C","Naypyitaw","Normal","Female","Fashion accessories","35,49","3","5,3235","111,7935","2019-03-30","15:34","Credit card","106,47","4,761904762","5,3235","7,1"
"822-18-9062","A","Yangon","Normal","Male","Home and lifestyle","71,65","5","17,9125","376,1625","2019-01-27","18:13","Cash","358,25","4,761904762","17,9125","5,7"
"515-30-2926","C","Naypyitaw","Member","Male","Electronic accessories","84,56","6","25,368","532,728","2019-01-07","10:56","Ewallet","507,36","4,761904762","25,368","6,8"
"368-49-5493","A","Yangon","Member","Male","Sports and travel","18,47","6","5,541","116,361","2019-02-13","16:19","Credit card","110,82","4,761904762","5,541","6,2"
"787-59-1757","B","Mandalay","Member","Female","Electronic accessories","86,31","1","4,3155","90,6255","2019-03-24","18:09","Cash","86,31","4,761904762","4,3155","5,8"
"828-98-2868","B","Mandalay","Normal","Male","Sports and travel","31,58","8","12,632","265,272","2019-01-16","11:18","Credit card","252,64","4,761904762","12,632","6,6"
"609-68-5989","C","Naypyitaw","Normal","Female","Fashion accessories","35,12","5","8,78","184,38","2019-01-03","11:44","Cash","175,6","4,761904762","8,78","9,9"
"196-48-2033","C","Naypyitaw","Normal","Female","Home and lifestyle","93,9","10","46,95","985,95","2019-03-16","10:45","Credit card","939","4,761904762","46,95","8,7"
"117-70-9360","C","Naypyitaw","Normal","Female","Sports and travel","61,53","6","18,459","387,639","2019-01-23","19:26","Credit card","369,18","4,761904762","18,459","8,5"
"238-12-3968","B","Mandalay","Normal","Male","Electronic accessories","85,75","6","25,725","540,225","2019-01-19","14:56","Cash","514,5","4,761904762","25,725","4,5"
"371-28-2004","B","Mandalay","Normal","Male","Electronic accessories","39,24","6","11,772","247,212","2019-02-20","11:51","Credit card","235,44","4,761904762","11,772","9,3"
"915-79-2631","A","Yangon","Normal","Male","Health and beauty","86,58","5","21,645","454,545","2019-02-22","20:35","Ewallet","432,9","4,761904762","21,645","6,6"
"434-79-8586","A","Yangon","Member","Male","Electronic accessories","85,59","7","29,9565","629,0865","2019-02-02","11:03","Cash","599,13","4,761904762","29,9565","9,5"
"804-76-2429","B","Mandalay","Member","Female","Food and beverages","43,05","10","21,525","452,025","2019-03-21","10:28","Ewallet","430,5","4,761904762","21,525","10"
"261-46-4596","B","Mandalay","Normal","Male","Fashion accessories","42,99","8","17,196","361,116","2019-02-17","10:47","Ewallet","343,92","4,761904762","17,196","9,9"
"584-18-3245","B","Mandalay","Normal","Male","Sports and travel","15,27","8","6,108","128,268","2019-03-24","12:31","Cash","122,16","4,761904762","6,108","7,5"
"815-11-7675","B","Mandalay","Member","Female","Fashion accessories","74,39","4","14,878","312,438","2019-02-03","17:23","Ewallet","297,56","4,761904762","14,878","9,1"
"996-52-5545","C","Naypyitaw","Normal","Female","Sports and travel","28,74","6","8,622","181,062","2019-01-26","14:36","Ewallet","172,44","4,761904762","8,622","5,8"
"870-21-9774","B","Mandalay","Normal","Female","Food and beverages","49,69","9","22,3605","469,5705","2019-02-28","10:56","Cash","447,21","4,761904762","22,3605","9,4"
"461-49-9451","A","Yangon","Member","Male","Fashion accessories","50,48","7","17,668","371,028","2019-02-28","13:13","Cash","353,36","4,761904762","17,668","8,3"
"504-14-8673","C","Naypyitaw","Normal","Female","Food and beverages","86,68","2","8,668","182,028","2019-03-18","20:14","Credit card","173,36","4,761904762","8,668","9,5"
"567-54-2531","B","Mandalay","Member","Male","Fashion accessories","66,25","3","9,9375","208,6875","2019-03-09","11:16","Ewallet","198,75","4,761904762","9,9375","5,6"
"422-73-7307","B","Mandalay","Member","Female","Health and beauty","65,11","3","9,7665","205,0965","2019-03-29","11:46","Cash","195,33","4,761904762","9,7665","8,7"
"643-64-2440","C","Naypyitaw","Normal","Male","Health and beauty","76,37","3","11,4555","240,5655","2019-01-05","16:00","Cash","229,11","4,761904762","11,4555","9"
"360-98-3920","C","Naypyitaw","Member","Male","Sports and travel","48,37","6","14,511","304,731","2019-03-08","16:11","Credit card","290,22","4,761904762","14,511","5,9"
"411-91-1370","A","Yangon","Normal","Male","Fashion accessories","99,87","9","44,9415","943,7715","2019-03-27","15:38","Credit card","898,83","4,761904762","44,9415","7,7"
"648-55-1287","B","Mandalay","Normal","Male","Food and beverages","29,46","6","8,838","185,598","2019-02-16","13:57","Ewallet","176,76","4,761904762","8,838","4,5"
"975-68-8956","B","Mandalay","Normal","Male","Health and beauty","66,89","6","20,067","421,407","2019-03-09","10:56","Ewallet","401,34","4,761904762","20,067","6,9"
"339-87-2285","A","Yangon","Normal","Male","Home and lifestyle","80,95","8","32,38","679,98","2019-01-03","20:06","Credit card","647,6","4,761904762","32,38","4,8"
"959-16-4347","B","Mandalay","Member","Male","Sports and travel","10,28","1","0,514","10,794","2019-01-01","10:03","Ewallet","10,28","4,761904762","0,514","5"
"420-13-5450","B","Mandalay","Normal","Male","Fashion accessories","24,99","3","3,7485","78,7185","2019-02-20","11:28","Credit card","74,97","4,761904762","3,7485","6,5"
"252-31-3207","B","Mandalay","Member","Male","Sports and travel","96,14","6","28,842","605,682","2019-03-29","20:45","Cash","576,84","4,761904762","28,842","9,1"
"349-36-5001","C","Naypyitaw","Normal","Male","Health and beauty","96,31","8","38,524","809,004","2019-03-05","20:06","Ewallet","770,48","4,761904762","38,524","5,2"
"323-83-4957","C","Naypyitaw","Normal","Male","Sports and travel","33,72","6","10,116","212,436","2019-02-14","11:19","Credit card","202,32","4,761904762","10,116","9,2"
"476-52-8196","A","Yangon","Normal","Female","Health and beauty","25,44","5","6,36","133,56","2019-02-08","15:42","Ewallet","127,2","4,761904762","6,36","5,7"
"171-37-1882","B","Mandalay","Normal","Female","Sports and travel","17,03","9","7,6635","160,9335","2019-02-07","15:22","Cash","153,27","4,761904762","7,6635","8,4"
"723-84-4365","B","Mandalay","Member","Female","Health and beauty","37,59","7","13,1565","276,2865","2019-02-18","20:29","Credit card","263,13","4,761904762","13,1565","9,6"
"744-62-9374","A","Yangon","Member","Male","Sports and travel","15,44","6","4,632","97,272","2019-01-23","12:09","Ewallet","92,64","4,761904762","4,632","8,3"
"895-57-8154","C","Naypyitaw","Normal","Male","Home and lifestyle","50,28","8","20,112","422,352","2019-03-22","14:52","Cash","402,24","4,761904762","20,112","7,7"
"242-69-4624","C","Naypyitaw","Member","Male","Home and lifestyle","73,59","6","22,077","463,617","2019-03-25","13:06","Credit card","441,54","4,761904762","22,077","6,4"
"385-50-6457","B","Mandalay","Normal","Female","Sports and travel","69,68","2","6,968","146,328","2019-01-13","10:24","Cash","139,36","4,761904762","6,968","6,4"
"192-90-3941","A","Yangon","Member","Female","Sports and travel","89,38","2","8,938","187,698","2019-03-02","15:52","Ewallet","178,76","4,761904762","8,938","6,7"
"275-46-5635","B","Mandalay","Normal","Male","Home and lifestyle","58,14","4","11,628","244,188","2019-01-24","12:26","Ewallet","232,56","4,761904762","11,628","9,3"
"109-35-7966","B","Mandalay","Normal","Male","Health and beauty","63,26","4","12,652","265,692","2019-01-12","12:38","Ewallet","253,04","4,761904762","12,652","7,3"
"943-64-6819","C","Naypyitaw","Member","Male","Sports and travel","32,57","8","13,028","273,588","2019-03-05","19:55","Ewallet","260,56","4,761904762","13,028","6,8"
"522-58-2126","C","Naypyitaw","Normal","Male","Electronic accessories","53,69","5","13,4225","281,8725","2019-01-15","13:35","Credit card","268,45","4,761904762","13,4225","4,4"
"401-82-6202","A","Yangon","Member","Female","Health and beauty","98,45","9","44,3025","930,3525","2019-02-08","12:29","Ewallet","886,05","4,761904762","44,3025","8,5"
"708-88-2464","B","Mandalay","Normal","Female","Sports and travel","21,7","7","7,595","159,495","2019-03-13","11:49","Credit card","151,9","4,761904762","7,595","8,6"
"448-35-6396","B","Mandalay","Normal","Female","Electronic accessories","65,13","7","22,7955","478,7055","2019-03-29","20:39","Credit card","455,91","4,761904762","22,7955","8,2"
"465-36-7513","A","Yangon","Normal","Male","Electronic accessories","98,65","10","49,325","1035,825","2019-02-24","15:04","Cash","986,5","4,761904762","49,325","7,9"
"303-14-9256","C","Naypyitaw","Member","Female","Electronic accessories","80,59","2","8,059","169,239","2019-02-18","19:23","Credit card","161,18","4,761904762","8,059","8,9"
"601-65-5923","C","Naypyitaw","Member","Male","Fashion accessories","87,06","5","21,765","457,065","2019-01-16","19:19","Ewallet","435,3","4,761904762","21,765","9,3"
"183-35-3147","A","Yangon","Normal","Male","Sports and travel","22,89","6","6,867","144,207","2019-03-12","19:05","Ewallet","137,34","4,761904762","6,867","4,3"
"150-33-8878","A","Yangon","Normal","Female","Fashion accessories","30,02","6","9,006","189,126","2019-03-31","12:40","Credit card","180,12","4,761904762","9,006","7,3"
"327-11-4125","A","Yangon","Normal","Female","Electronic accessories","72,51","5","18,1275","380,6775","2019-02-01","12:23","Ewallet","362,55","4,761904762","18,1275","9,6"
"997-85-1577","B","Mandalay","Member","Female","Health and beauty","37,56","8","15,024","315,504","2019-01-22","11:33","Cash","300,48","4,761904762","15,024","5,8"
"561-70-5137","A","Yangon","Member","Female","Home and lifestyle","32,82","5","8,205","172,305","2019-02-07","14:38","Ewallet","164,1","4,761904762","8,205","7,1"
"143-92-4662","B","Mandalay","Normal","Female","Sports and travel","82,2","9","36,99","776,79","2019-02-12","14:29","Cash","739,8","4,761904762","36,99","4,6"
"996-23-1409","B","Mandalay","Member","Female","Home and lifestyle","73","2","7,3","153,3","2019-03-12","11:14","Cash","146","4,761904762","7,3","8,3"
"533-38-8998","B","Mandalay","Member","Male","Fashion accessories","35,12","7","12,292","258,132","2019-01-24","18:07","Ewallet","245,84","4,761904762","12,292","6,4"
"247-44-1367","A","Yangon","Normal","Male","Fashion accessories","94,75","8","37,9","795,9","2019-01-25","20:17","Credit card","758","4,761904762","37,9","7,5"
"481-30-2015","C","Naypyitaw","Member","Male","Electronic accessories","69,91","6","20,973","440,433","2019-03-05","12:11","Cash","419,46","4,761904762","20,973","7"
"430-28-7253","B","Mandalay","Member","Male","Health and beauty","30,87","6","9,261","194,481","2019-02-03","13:51","Cash","185,22","4,761904762","9,261","9,4"
"647-38-6054","C","Naypyitaw","Normal","Female","Fashion accessories","80,53","10","40,265","845,565","2019-01-18","15:59","Credit card","805,3","4,761904762","40,265","5,7"
"274-93-9009","B","Mandalay","Normal","Female","Food and beverages","22,34","8","8,936","187,656","2019-02-03","10:42","Cash","178,72","4,761904762","8,936","9,8"
"181-12-9754","A","Yangon","Normal","Female","Sports and travel","20,18","9","9,081","190,701","2019-01-21","14:10","Cash","181,62","4,761904762","9,081","5,9"
"529-38-8540","A","Yangon","Normal","Male","Electronic accessories","29,18","3","4,377","91,917","2019-02-18","17:24","Credit card","87,54","4,761904762","4,377","8,9"
"497-31-9289","C","Naypyitaw","Member","Female","Home and lifestyle","49,44","1","2,472","51,912","2019-02-28","19:22","Cash","49,44","4,761904762","2,472","4,6"
"445-73-3369","B","Mandalay","Member","Female","Home and lifestyle","44,96","10","22,48","472,08","2019-03-15","15:01","Ewallet","449,6","4,761904762","22,48","5,9"
"848-64-3790","A","Yangon","Member","Male","Electronic accessories","45,14","8","18,056","379,176","2019-01-30","18:28","Credit card","361,12","4,761904762","18,056","9,3"
"913-57-2639","B","Mandalay","Normal","Male","Health and beauty","40,63","9","18,2835","383,9535","2019-03-09","10:35","Cash","365,67","4,761904762","18,2835","8,7"
"779-26-6033","B","Mandalay","Normal","Female","Food and beverages","17,62","5","4,405","92,505","2019-01-16","20:35","Cash","88,1","4,761904762","4,405","9,3"
"493-83-5047","A","Yangon","Normal","Female","Sports and travel","90,43","10","45,215","949,515","2019-03-01","17:14","Credit card","904,3","4,761904762","45,215","4,5"
"554-28-7909","C","Naypyitaw","Normal","Male","Food and beverages","15,5","8","6,2","130,2","2019-01-30","14:33","Cash","124","4,761904762","6,2","6"
"580-24-5652","C","Naypyitaw","Member","Male","Sports and travel","91,74","8","36,696","770,616","2019-01-11","17:44","Ewallet","733,92","4,761904762","36,696","4,6"
"674-29-5494","C","Naypyitaw","Member","Female","Electronic accessories","29,69","9","13,3605","280,5705","2019-01-17","15:31","Ewallet","267,21","4,761904762","13,3605","8,8"
"928-33-8161","B","Mandalay","Member","Male","Fashion accessories","56,98","4","11,396","239,316","2019-03-26","13:33","Credit card","227,92","4,761904762","11,396","6,2"
"596-87-6443","A","Yangon","Member","Female","Fashion accessories","35,49","4","7,098","149,058","2019-02-19","13:45","Ewallet","141,96","4,761904762","7,098","5,3"
"913-64-6323","A","Yangon","Member","Male","Health and beauty","82,55","4","16,51","346,71","2019-02-02","12:41","Ewallet","330,2","4,761904762","16,51","8,5"
"450-94-1847","B","Mandalay","Member","Male","Electronic accessories","44,28","7","15,498","325,458","2019-01-19","12:04","Ewallet","309,96","4,761904762","15,498","5,5"
"605-20-7308","A","Yangon","Member","Male","Food and beverages","92,93","8","37,172","780,612","2019-03-28","18:40","Ewallet","743,44","4,761904762","37,172","5,5"
"776-83-1471","A","Yangon","Member","Female","Sports and travel","86,28","6","25,884","543,564","2019-03-02","14:11","Cash","517,68","4,761904762","25,884","4,9"
"371-66-4157","A","Yangon","Normal","Female","Health and beauty","55,31","8","22,124","464,604","2019-02-11","18:07","Credit card","442,48","4,761904762","22,124","7,1"
"968-42-2093","C","Naypyitaw","Normal","Male","Food and beverages","78,52","8","31,408","659,568","2019-03-01","12:05","Credit card","628,16","4,761904762","31,408","5"
"580-71-8444","B","Mandalay","Normal","Male","Home and lifestyle","96,26","8","38,504","808,584","2019-01-03","11:58","Credit card","770,08","4,761904762","38,504","8,8"
"760-56-7841","C","Naypyitaw","Normal","Male","Food and beverages","38,49","8","15,396","323,316","2019-03-02","14:07","Credit card","307,92","4,761904762","15,396","8,6"
"737-11-1513","B","Mandalay","Member","Male","Fashion accessories","88,15","5","22,0375","462,7875","2019-01-04","11:02","Ewallet","440,75","4,761904762","22,0375","8,9"
"985-54-8620","B","Mandalay","Normal","Male","Sports and travel","32,69","8","13,076","274,596","2019-02-15","18:53","Ewallet","261,52","4,761904762","13,076","7,7"
"799-41-5782","A","Yangon","Normal","Male","Sports and travel","10,83","9","4,8735","102,3435","2019-03-10","11:06","Ewallet","97,47","4,761904762","4,8735","5,9"
"817-88-2254","B","Mandalay","Member","Male","Sports and travel","36,89","3","5,5335","116,2035","2019-02-27","19:10","Ewallet","110,67","4,761904762","5,5335","6"
"490-39-7675","B","Mandalay","Normal","Male","Home and lifestyle","15,84","10","7,92","166,32","2019-01-30","10:08","Ewallet","158,4","4,761904762","7,92","5,8"
"922-17-9538","C","Naypyitaw","Normal","Female","Sports and travel","97,95","2","9,795","205,695","2019-02-13","16:25","Credit card","195,9","4,761904762","9,795","7,7"
"755-59-1963","C","Naypyitaw","Normal","Male","Health and beauty","16,8","9","7,56","158,76","2019-01-12","10:20","Cash","151,2","4,761904762","7,56","6,2"
"568-43-9693","A","Yangon","Member","Female","Health and beauty","72,83","2","7,283","152,943","2019-03-06","12:37","Cash","145,66","4,761904762","7,283","6,6"
"762-17-4130","B","Mandalay","Normal","Female","Sports and travel","72,74","7","25,459","534,639","2019-01-18","10:15","Credit card","509,18","4,761904762","25,459","8,4"
"145-74-3057","A","Yangon","Member","Male","Fashion accessories","71,31","7","24,9585","524,1285","2019-02-08","17:10","Cash","499,17","4,761904762","24,9585","8"
"558-94-7514","B","Mandalay","Normal","Female","Food and beverages","87,88","5","21,97","461,37","2019-02-05","17:12","Cash","439,4","4,761904762","21,97","5,1"
"731-47-6393","A","Yangon","Member","Male","Food and beverages","82,46","5","20,615","432,915","2019-02-20","20:50","Ewallet","412,3","4,761904762","20,615","8,3"
"451-17-6044","C","Naypyitaw","Member","Female","Fashion accessories","59,07","6","17,721","372,141","2019-02-25","14:27","Ewallet","354,42","4,761904762","17,721","7,1"
"842-24-4169","A","Yangon","Normal","Male","Sports and travel","23,64","5","5,91","124,11","2019-01-27","14:28","Cash","118,2","4,761904762","5,91","4,6"
"108-78-5310","B","Mandalay","Normal","Female","Sports and travel","71,33","1","3,5665","74,8965","2019-01-10","17:00","Credit card","71,33","4,761904762","3,5665","5,1"
"622-89-5988","A","Yangon","Member","Female","Sports and travel","47,16","4","9,432","198,072","2019-02-11","17:23","Credit card","188,64","4,761904762","9,432","9,9"
"481-53-1935","A","Yangon","Normal","Male","Electronic accessories","99,03","1","4,9515","103,9815","2019-02-03","18:06","Ewallet","99,03","4,761904762","4,9515","4,7"
"693-89-3337","C","Naypyitaw","Normal","Female","Sports and travel","59,85","2","5,985","125,685","2019-01-02","10:32","Cash","119,7","4,761904762","5,985","4,1"
"229-87-9535","B","Mandalay","Member","Male","Home and lifestyle","71,88","3","10,782","226,422","2019-02-22","10:26","Credit card","215,64","4,761904762","10,782","5,4"
"674-69-6832","B","Mandalay","Member","Female","Home and lifestyle","34,19","3","5,1285","107,6985","2019-02-17","19:28","Cash","102,57","4,761904762","5,1285","7"
"969-14-1186","A","Yangon","Normal","Male","Food and beverages","46,89","5","11,7225","246,1725","2019-02-13","14:28","Cash","234,45","4,761904762","11,7225","7,8"
"576-63-4881","A","Yangon","Member","Female","Home and lifestyle","68,05","2","6,805","142,905","2019-03-10","13:11","Ewallet","136,1","4,761904762","6,805","7,8"
"542-81-6157","B","Mandalay","Member","Male","Sports and travel","21,56","3","3,234","67,914","2019-02-20","10:44","Cash","64,68","4,761904762","3,234","6,5"
"745-47-4550","C","Naypyitaw","Member","Female","Fashion accessories","61,99","8","24,796","520,716","2019-03-07","19:28","Cash","495,92","4,761904762","24,796","5,5"
"688-28-1253","A","Yangon","Normal","Male","Sports and travel","54,61","3","8,1915","172,0215","2019-01-20","13:30","Credit card","163,83","4,761904762","8,1915","4,6"
"957-39-8967","A","Yangon","Member","Female","Home and lifestyle","63,06","10","31,53","662,13","2019-02-12","16:53","Ewallet","630,6","4,761904762","31,53","5,3"
"171-38-4523","B","Mandalay","Normal","Male","Health and beauty","29,94","7","10,479","220,059","2019-03-15","12:56","Credit card","209,58","4,761904762","10,479","8,3"
"786-83-6830","B","Mandalay","Normal","Male","Home and lifestyle","42,38","1","2,119","44,499","2019-03-25","19:58","Ewallet","42,38","4,761904762","2,119","7,4"
"805-37-8473","B","Mandalay","Member","Male","Electronic accessories","96,94","7","33,929","712,509","2019-03-03","13:10","Cash","678,58","4,761904762","33,929","8"
"333-30-1212","B","Mandalay","Member","Female","Health and beauty","61,65","7","21,5775","453,1275","2019-02-19","15:34","Credit card","431,55","4,761904762","21,5775","7,1"
"954-72-2920","C","Naypyitaw","Normal","Female","Fashion accessories","91,83","3","13,7745","289,2645","2019-02-27","20:58","Ewallet","275,49","4,761904762","13,7745","8,2"
"676-44-3326","C","Naypyitaw","Member","Male","Fashion accessories","55,4","2","5,54","116,34","2019-01-22","14:18","Cash","110,8","4,761904762","5,54","6,5"
"299-43-9151","A","Yangon","Member","Male","Health and beauty","50,64","4","10,128","212,688","2019-01-04","12:22","Cash","202,56","4,761904762","10,128","5,1"
"453-32-7965","B","Mandalay","Normal","Female","Electronic accessories","87,41","6","26,223","550,683","2019-01-31","10:47","Credit card","524,46","4,761904762","26,223","6,9"
"118-24-6099","C","Naypyitaw","Normal","Male","Food and beverages","60,78","7","21,273","446,733","2019-02-22","15:28","Ewallet","425,46","4,761904762","21,273","8,8"
"402-30-6113","C","Naypyitaw","Normal","Male","Electronic accessories","13,36","2","1,336","28,056","2019-03-14","14:38","Ewallet","26,72","4,761904762","1,336","4,9"
"252-42-2696","A","Yangon","Member","Female","Home and lifestyle","30,2","7","10,57","221,97","2019-02-28","18:34","Cash","211,4","4,761904762","10,57","7,2"
"453-13-4687","A","Yangon","Member","Female","Food and beverages","94,66","4","18,932","397,572","2019-03-26","18:48","Cash","378,64","4,761904762","18,932","9,6"
"893-85-3283","A","Yangon","Member","Female","Sports and travel","14,77","10","7,385","155,085","2019-03-20","12:01","Cash","147,7","4,761904762","7,385","7,6"
"795-53-7622","A","Yangon","Member","Male","Electronic accessories","71,84","5","17,96","377,16","2019-01-05","17:49","Credit card","359,2","4,761904762","17,96","6,7"
"446-22-5351","C","Naypyitaw","Member","Female","Fashion accessories","25,31","5","6,3275","132,8775","2019-03-21","15:51","Cash","126,55","4,761904762","6,3275","5,2"
"543-21-6548","A","Yangon","Member","Male","Electronic accessories","67,84","10","33,92","712,32","2019-01-28","11:54","Cash","678,4","4,761904762","33,92","9,4"
"563-87-9757","A","Yangon","Member","Male","Fashion accessories","62,03","3","9,3045","195,3945","2019-03-16","19:05","Credit card","186,09","4,761904762","9,3045","7,9"
"689-58-9160","C","Naypyitaw","Normal","Male","Fashion accessories","49,55","9","22,2975","468,2475","2019-03-11","11:07","Credit card","445,95","4,761904762","22,2975","4,9"
"843-42-6923","A","Yangon","Member","Female","Electronic accessories","10,48","3","1,572","33,012","2019-01-27","13:21","Cash","31,44","4,761904762","1,572","9,4"
"399-26-4402","A","Yangon","Normal","Female","Electronic accessories","79,85","6","23,955","503,055","2019-01-27","15:02","Credit card","479,1","4,761904762","23,955","4,5"
"175-44-5764","A","Yangon","Normal","Male","Fashion accessories","90,54","5","22,635","475,335","2019-02-23","10:13","Credit card","452,7","4,761904762","22,635","5,9"
"385-63-7365","B","Mandalay","Normal","Female","Electronic accessories","13,61","1","0,6805","14,2905","2019-02-26","13:39","Cash","13,61","4,761904762","0,6805","8,1"
"240-28-3140","C","Naypyitaw","Normal","Female","Fashion accessories","15,11","10","7,555","158,655","2019-03-17","15:47","Credit card","151,1","4,761904762","7,555","4,3"
"464-77-7799","B","Mandalay","Member","Female","Fashion accessories","55,56","6","16,668","350,028","2019-02-05","10:09","Credit card","333,36","4,761904762","16,668","9,4"
"245-57-8240","A","Yangon","Member","Female","Home and lifestyle","51,84","3","7,776","163,296","2019-01-12","11:31","Ewallet","155,52","4,761904762","7,776","6,9"
"823-30-2378","B","Mandalay","Member","Male","Electronic accessories","82,01","3","12,3015","258,3315","2019-03-14","11:57","Credit card","246,03","4,761904762","12,3015","6,8"
"520-82-7770","C","Naypyitaw","Normal","Male","Fashion accessories","63,75","10","31,875","669,375","2019-01-22","13:23","Credit card","637,5","4,761904762","31,875","7,2"
"420-15-8158","B","Mandalay","Normal","Female","Electronic accessories","66,69","10","33,345","700,245","2019-03-09","13:59","Cash","666,9","4,761904762","33,345","9"
"350-47-2553","A","Yangon","Member","Female","Food and beverages","37,01","6","11,103","233,163","2019-01-24","20:44","Credit card","222,06","4,761904762","11,103","8,2"
"597-82-4727","C","Naypyitaw","Member","Male","Sports and travel","80,99","5","20,2475","425,1975","2019-01-16","13:21","Cash","404,95","4,761904762","20,2475","7,3"
"569-52-2410","B","Mandalay","Normal","Male","Electronic accessories","74,85","7","26,1975","550,1475","2019-03-15","11:59","Cash","523,95","4,761904762","26,1975","9,7"
"197-48-8376","A","Yangon","Normal","Male","Food and beverages","76,38","9","34,371","721,791","2019-03-27","12:16","Ewallet","687,42","4,761904762","34,371","8,6"
"840-97-7353","A","Yangon","Member","Male","Electronic accessories","62,26","10","31,13","653,73","2019-01-29","10:08","Cash","622,6","4,761904762","31,13","4,5"
"672-35-2117","A","Yangon","Member","Male","Home and lifestyle","60,39","8","24,156","507,276","2019-02-08","16:20","Credit card","483,12","4,761904762","24,156","5,8"
