id_venta,fecha,unidades,importe,canal,ciudad_x,cod_postal,municipio_id,id_hash,ciudad_y,cp_trunc,decada_nacimiento
18,2025-01-31,7,278.13,tienda,Zaragoza,50001,500,f369cb89fc627e668987007d121ed1eacdc01db9e28f8bb26f358b7d8c4f08ac,Zaragoza,500,1980s
19,2025-01-17,2,70.42,app,Valladolid,47001,470,c6f3ac57944a531490cd39902d0f777715fd005efac9a30622d5f5205e7f6894,Valladolid,470,1970s
20,2025-02-16,7,118.38,app,Sevilla,41002,410,f5ca38f748a1d6eaf726b8a42fb575c3c71f1864a8143301782de13da2d9202b,Sevilla,410,1960s
21,2025-01-19,10,214.92,tienda,Bilbao,48003,480,8acc23987b8960d83c44541f9f0eb46454cea080ea94d916f56fccf033db866f,Bilbao,480,1990s
22,2025-02-10,1,150.84,tienda,Zaragoza,50007,500,69f59c273b6e669ac32a6dd5e1b2cb63333d8b004f9696447aee2d422ce63763,Zaragoza,500,1960s
23,2025-01-19,10,62.45,app,Madrid,28002,280,ea5b27556fbb134def2c2fbf944d9cdda3dbdb6b10473a1aec59f6f170c4ca3a,Madrid,280,1990s
24,2025-02-14,3,73.34,app,Sevilla,41010,410,768b84ef05f655d57fe22d488451f075365f6cd18a13073466aa826cc0ebdbfb,Sevilla,410,1960s
25,2025-01-24,1,75.58,tienda,Zaragoza,50002,500,9400f1b21cb527d7fa3d3eabba93557a18ebe7a2ca4e471cfe5e4c5b4ca7f767,Zaragoza,500,1990s
26,2025-01-18,6,235.0,app,Sevilla,41002,410,811786ad1ae74adfdd20dd0372abaaebc6246e343aebd01da0bfc4c02bf0106c,Sevilla,410,1970s
27,2025-01-26,9,177.89,tienda,Bilbao,48003,480,4621c1d55fa4e86ce0dae4288302641baac86dd53f76227c892df9d300682d41,Bilbao,480,1960s
28,2025-02-28,5,31.6,app,Murcia,30002,300,76a50887d8f1c2e9301755428990ad81479ee21c25b43215cf524541e0503269,Murcia,300,1970s
29,2025-02-28,6,176.97,web,Sevilla,41005,410,d7cdaa5ca0582076c8e772cce739e32c5077cfd24f2ea33f04bb754594989a56,Sevilla,410,1980s
30,2025-02-08,8,289.1,web,Bilbao,48003,480,e5b861a6d8a966dfca7e7341cd3eb6be9901688d547a72ebed0b1f5e14f3d08d,Bilbao,480,1970s
31,2025-01-01,7,82.03,app,Málaga,29001,290,9cfd3c755be26b4e1645918e2a64a26e3d851ede421e0b257f783b443bc443d1,Málaga,290,1970s
32,2025-02-05,5,26.35,web,Bilbao,48003,480,02d20bbd7e394ad5999a4cebabac9619732c343a4cac99470c03e23ba2bdc2bc,Bilbao,480,1960s
33,2025-02-21,5,156.42,app,Valencia,46023,460,39fa9ec190eee7b6f4dff1100d6343e10918d044c75eac8f9e9a2596173f80c9,Valencia,460,2000s
34,2025-01-17,7,209.79,app,Málaga,29001,290,9cfd3c755be26b4e1645918e2a64a26e3d851ede421e0b257f783b443bc443d1,Málaga,290,1970s
35,2025-02-19,6,76.77,web,Zaragoza,50002,500,766cb53c753baedac5dc782593e04694b3bae3aed057ac2ff98cc1aef6413137,Zaragoza,500,1980s
36,2025-02-27,1,178.11,web,Valencia,46002,460,9a049b03f6fc40bfcf2f136320359257ed4af8513f71aa6fef47f17059bbae23,Valencia,460,1990s
37,2025-01-17,4,24.93,app,Valencia,46023,460,39fa9ec190eee7b6f4dff1100d6343e10918d044c75eac8f9e9a2596173f80c9,Valencia,460,2000s
38,2025-02-21,6,98.14,app,Valladolid,47010,470,85daaf6f7055cd5736287faed9603d712920092c4f8fd0097ec3b650bf27530e,Valladolid,470,1990s
39,2025-01-01,5,211.74,tienda,Málaga,29004,290,3a1dfb05d7257530e6349233688c3e121945c5de50f1273a7620537755d61e45,Málaga,290,1970s
40,2025-01-06,6,122.68,tienda,Málaga,29001,290,ec2e990b934dde55cb87300629cedfc21b15cd28bbcf77d8bbdc55359d7689da,Málaga,290,1970s
41,2025-03-01,6,57.65,web,Valencia,46023,460,1e68ed4e3d58a51096a7feea3947f40debf1fd9246ec977eb62ab93c81823ad9,Valencia,460,1970s
42,2025-02-27,3,174.25,app,Bilbao,48002,480,b1556dea32e9d0cdbfed038fd7787275775ea40939c146a64e205bcb349ad02f,Bilbao,480,1970s
43,2025-02-01,4,222.45,app,Murcia,30001,300,29db0c6782dbd5000559ef4d9e953e300e2b479eed26d887ef3f92b921c06a67,Murcia,300,1980s
44,2025-02-25,4,83.29,tienda,Valladolid,47001,470,6affdae3b3c1aa6aa7689e9b6a7b3225a636aa1ac0025f490cca1285ceaf1487,Valladolid,470,1980s
45,2025-02-23,3,187.49,tienda,Valencia,46001,460,2747b7c718564ba5f066f0523b03e17f6a496b06851333d2d59ab6d863225848,Valencia,460,1970s
46,2025-02-28,8,28.15,app,Madrid,28003,280,81b8a03f97e8787c53fe1a86bda042b6f0de9b0ec9c09357e107c99ba4d6948a,Madrid,280,1990s
47,2025-02-18,1,257.84,web,Murcia,30002,300,4b227777d4dd1fc61c6f884f48641d02b4d121d3fd328cb08b5531fcacdabf8a,Murcia,300,1960s
48,2025-02-09,10,98.05,web,Zaragoza,50007,500,70260742c2952154c84e2ea9f68b1a7397f49b6d343da1ed284093c0bd72c742,Zaragoza,500,2000s
49,2025-01-12,9,295.4,web,Málaga,29004,290,d6e5a20b30f87216b2c758f5e7a23c437dbc3dfa1ccb177c474de152bb0ef731,Málaga,290,1980s
50,2025-01-15,3,226.3,tienda,Valencia,46021,460,fc56dbc6d4652b315b86b71c8d688c1ccdea9c5f1fd07763d2659fde2e2fc49a,Valencia,460,1990s
51,2025-02-21,9,129.84,tienda,Murcia,30002,300,d8d1790737d57ac4fe91a2c0a28087c0a97c81f5dc6b19d5e4aec20c08bb95ae,Murcia,300,1980s
52,2025-01-23,3,121.15,web,Sevilla,41001,410,a30f4ef42176d28f0e2293533c5f532e9c9c5696c68813b35315d17edc44f6b1,Sevilla,410,1970s
53,2025-02-14,6,157.87,app,Madrid,28003,280,81b8a03f97e8787c53fe1a86bda042b6f0de9b0ec9c09357e107c99ba4d6948a,Madrid,280,1990s
54,2025-01-01,7,203.86,app,Murcia,30002,300,ef2d127de37b942baad06145e54b0c619a1f22327b2ebbcfbec78f5564afe39d,Murcia,300,2000s
55,2025-01-21,5,111.67,tienda,Valladolid,47010,470,41cfc0d1f2d127b04555b7246d84019b4d27710a3f3aff6e7764375b1e06e05d,Valladolid,470,1990s
56,2025-01-17,8,74.96,app,Murcia,30007,300,71a1c003a2b855d85582c8f6c7648c49d3fe836408a7e1b5d9b222448acb3c1b,Murcia,300,1970s
57,2025-01-24,7,59.25,tienda,Valencia,46001,460,cba28b89eb859497f544956d64cf2ecf29b76fe2ef7175b33ea59e64293a4461,Valencia,460,1990s
58,2025-02-14,6,226.9,web,Madrid,28002,280,d86580a57f7bf542e85202283cb845953c9d28f80a8e651db08b2fc0b2d6a731,Madrid,280,1960s
59,2025-01-29,3,58.07,app,Sevilla,41001,410,5ec1a0c99d428601ce42b407ae9c675e0836a8ba591c8ca6e2a2cf5563d97ff0,Sevilla,410,1990s
60,2025-02-22,5,34.46,tienda,Valladolid,47010,470,85daaf6f7055cd5736287faed9603d712920092c4f8fd0097ec3b650bf27530e,Valladolid,470,1990s
61,2025-01-28,4,257.61,tienda,Sevilla,41005,410,a0d177b4967a6d99f4ff117defe1c0d23d4e78ca4630febcb948ee9e4520eff3,Sevilla,410,1990s
62,2025-01-31,3,242.67,web,Bilbao,48001,480,a88a7902cb4ef697ba0b6759c50e8c10297ff58f942243de19b984841bfe1f73,Bilbao,480,1960s
63,2025-01-09,9,298.69,app,Murcia,30001,300,51e8ea280b44e16934d4d611901f3d3afc41789840acdff81942c2f65009cd52,Murcia,300,1970s
64,2025-02-20,5,148.55,app,Bilbao,48002,480,79d6eaa2676189eb927f2e16a70091474078e2117c3fc607d35cdc6b591ef355,Bilbao,480,1990s
65,2025-01-04,3,122.53,tienda,Sevilla,41010,410,33512007840ced1bb0aab68f47cb5f702abd494a15f26bcbe26a1e47af03d841,Sevilla,410,2000s
66,2025-02-22,2,80.02,web,Murcia,30007,300,f6e0a1e2ac41945a9aa7ff8a8aaa0cebc12a3bcc981a929ad5cf810a090e11ae,Murcia,300,1990s
67,2025-01-17,9,111.48,app,Zaragoza,50002,500,68519a9eca55c68c72658a2a1716aac3788c289859d46d6f5c3f14760fa37c9e,Zaragoza,500,1990s
68,2025-01-23,2,10.85,web,Murcia,30001,300,dbb1ded63bc70732626c5dfe6c7f50ced3d560e970f30b15335ac290358748f6,Murcia,300,1980s
69,2025-02-06,9,174.89,tienda,Málaga,29002,290,37834f2f25762f23e1f74a531cbe445db73d6765ebe60878a7dfbecd7d4af6e1,Málaga,290,1970s
70,2025-01-23,9,100.9,web,Madrid,28002,280,0a5b046d07f6f971b7776de682f57c5b9cdc8fa060db7ef59de82e721c8098f4,Madrid,280,1980s
71,2025-02-26,10,28.13,web,Valencia,46001,460,08490295488a1189099751ebeddb5992313dd2a831e07a92e66d196ddc261777,Valencia,460,1990s
72,2025-02-10,3,287.2,app,Zaragoza,50002,500,8ae4c23b80d1e7c8ff79e515fe791ebd68190bae842dda7af193db125f700452,Zaragoza,500,1960s
73,2025-01-27,10,191.23,web,Valladolid,47010,470,4a8596a7790b5ca9e067da401c018b3206befbcf95c38121854d1a0158e7678a,Valladolid,470,1980s
74,2025-01-06,4,52.79,web,Valladolid,47001,470,7a61b53701befdae0eeeffaecc73f14e20b537bb0f8b91ad7c2936dc63562b25,Valladolid,470,1970s
75,2025-02-11,5,90.95,app,Madrid,28001,280,3d3286f7cd19074f04e514b0c6c237e757513fb32820698b790e1dec801d947a,Madrid,280,2000s
76,2025-01-18,6,266.87,app,Bilbao,48003,480,4621c1d55fa4e86ce0dae4288302641baac86dd53f76227c892df9d300682d41,Bilbao,480,1960s
77,2025-01-29,3,127.13,tienda,Bilbao,48003,480,8acc23987b8960d83c44541f9f0eb46454cea080ea94d916f56fccf033db866f,Bilbao,480,1990s
78,2025-02-16,5,74.22,app,Zaragoza,50001,500,108c995b953c8a35561103e2014cf828eb654a99e310f87fab94c2f4b7d2a04f,Zaragoza,500,1960s
79,2025-01-14,2,54.24,tienda,Bilbao,48003,480,3d914f9348c9cc0ff8a79716700b9fcd4d2f3e711608004eb8f138bcba7f14d9,Bilbao,480,1960s
80,2025-03-01,9,264.21,tienda,Valladolid,47001,470,c6f3ac57944a531490cd39902d0f777715fd005efac9a30622d5f5205e7f6894,Valladolid,470,1970s
81,2025-02-19,2,122.12,tienda,Murcia,30002,300,8527a891e224136950ff32ca212b45bc93f69fbb801c3b1ebedac52775f99e61,Murcia,300,1960s
82,2025-02-09,7,50.81,web,Valencia,46021,460,13671077b66a29874a2578b5240319092ef2a1043228e433e9b006b5e53e7513,Valencia,460,1990s
83,2025-01-16,8,222.59,app,Valladolid,47010,470,85daaf6f7055cd5736287faed9603d712920092c4f8fd0097ec3b650bf27530e,Valladolid,470,1990s
84,2025-01-09,3,160.39,tienda,Zaragoza,50001,500,108c995b953c8a35561103e2014cf828eb654a99e310f87fab94c2f4b7d2a04f,Zaragoza,500,1960s
85,2025-02-12,6,110.27,web,Sevilla,41002,410,4ec9599fc203d176a301536c2e091a19bc852759b255bd6818810a42c5fed14a,Sevilla,410,2000s
86,2025-02-25,5,164.47,app,Valencia,46002,460,6af1f692e9496c6d0b668316eccb93276ae6b6774fa728aac31ff40a38318760,Valencia,460,1960s
87,2025-01-09,9,291.01,tienda,Zaragoza,50001,500,9d693eeee1d1899cbc50b6d45df953d3835acf28ee869879b45565fccc814765,Zaragoza,500,1960s
88,2025-02-10,10,225.93,web,Sevilla,41010,410,114bd151f8fb0c58642d2170da4ae7d7c57977260ac2cc8905306cab6b2acabc,Sevilla,410,1970s
89,2025-02-10,5,193.66,web,Madrid,28012,280,f747870ae666c39b589f577856a0f7198b3b81269cb0326de86d8046f2cf72db,Madrid,280,2000s
90,2025-02-04,2,72.0,web,Valencia,46002,460,396f804443825586c1283a27fdcadf74abb82008bcd9b260a30912a26563f27d,Valencia,460,1980s
91,2025-01-24,3,126.6,web,Murcia,30007,300,7ed8f0f3b707956d9fb1e889e11153e0aa0a854983081d262fbe5eede32da7ca,Murcia,300,1980s
92,2025-01-01,3,159.38,web,Zaragoza,50001,500,e7f6c011776e8db7cd330b54174fd76f7d0216b612387a5ffcfb81e6f0919683,Zaragoza,500,1970s
93,2025-01-31,8,162.85,web,Murcia,30002,300,1d28c120568c10e19b9d8abe8b66d0983fa3d2e11ee7751aca50f83c6f4a43aa,Murcia,300,1970s
94,2025-01-01,5,230.93,app,Zaragoza,50001,500,1d0ebea552eb43d0b1e1561f6de8ae92e3de7f1abec52399244d1caed7dbdfa6,Zaragoza,500,2000s
95,2025-02-20,6,7.13,tienda,Valladolid,47002,470,3038bfb575bee6a0e61945eff8784835bb2c720634e42734678c083994b7f018,Valladolid,470,1960s
96,2025-02-26,7,170.36,tienda,Sevilla,41001,410,093434a3ee9e0a010bb2c2aae06c2614dd24894062a1caf26718a01e175569b8,Sevilla,410,1990s
97,2025-02-15,7,222.45,web,Sevilla,41005,410,44c8031cb036a7350d8b9b8603af662a4b9cdbd2f96e8d5de5af435c9c35da69,Sevilla,410,1980s
98,2025-01-17,4,28.37,app,Murcia,30002,300,6c658ee83fb7e812482494f3e416a876f63f418a0b8a1f5e76d47ee4177035cb,Murcia,300,1990s
99,2025-01-19,9,196.29,web,Zaragoza,50002,500,dbae772db29058a88f9bd830e957c695347c41b6162a7eb9a9ea13def34be56b,Zaragoza,500,1960s
100,2025-01-13,3,256.78,tienda,Valencia,46001,460,fa2b7af0a811b9acde602aacb78e3638e8506dfead5fe6c3425b10b526f94bdd,Valencia,460,1970s
101,2025-01-08,10,192.88,web,Sevilla,41001,410,05ada863a4cf9660fd8c68e2295f1d35b2264815f5b605003d6625bd9e0492cf,Sevilla,410,1970s
102,2025-02-14,4,188.71,web,Zaragoza,50002,500,dbae772db29058a88f9bd830e957c695347c41b6162a7eb9a9ea13def34be56b,Zaragoza,500,1960s
103,2025-01-10,9,19.64,tienda,Valladolid,47001,470,4a44dc15364204a80fe80e9039455cc1608281820fe2b24f1e5233ade6af1dd5,Valladolid,470,1980s
104,2025-01-07,3,88.22,app,Sevilla,41002,410,7b1a278f5abe8e9da907fc9c29dfd432d60dc76e17b0fabab659d2a508bc65c4,Sevilla,410,1990s
105,2025-02-16,2,7.42,tienda,Zaragoza,50007,500,0e6523810856a138a75dec70a9cf3778a5c70b83ac915f22c33f05db97cb3e68,Zaragoza,500,1970s
106,2025-02-01,7,69.07,web,Valladolid,47010,470,2c624232cdd221771294dfbb310aca000a0df6ac8b66b696d90ef06fdefb64a3,Valladolid,470,1990s
107,2025-01-24,1,141.79,web,Murcia,30001,300,51e8ea280b44e16934d4d611901f3d3afc41789840acdff81942c2f65009cd52,Murcia,300,1970s
108,2025-02-23,3,226.42,tienda,Murcia,30007,300,73475cb40a568e8da8a045ced110137e159f890ac4da883b6b17dc651b3a8049,Murcia,300,1990s
109,2025-02-19,9,120.76,web,Murcia,30007,300,d80eae6e96d148b3b2abbbc6760077b66c4ea071f847dab573d507a32c4d99a5,Murcia,300,1970s
110,2025-01-13,5,269.23,web,Valladolid,47010,470,6e4001871c0cf27c7634ef1dc478408f642410fd3a444e2a88e301f5c4a35a4d,Valladolid,470,2000s
111,2025-01-08,4,292.51,web,Zaragoza,50001,500,7902699be42c8a8e46fbbb4501726517e86b22c56a189f7625a6da49081b2451,Zaragoza,500,1990s
112,2025-01-16,1,222.6,tienda,Zaragoza,50007,500,dfe62e836a0a6f2633422230c81287700a56e2639652c73f264e6562220c207a,Zaragoza,500,1990s
113,2025-02-17,9,232.44,app,Valencia,46002,460,9a049b03f6fc40bfcf2f136320359257ed4af8513f71aa6fef47f17059bbae23,Valencia,460,1990s
114,2025-01-31,5,119.79,web,Málaga,29010,290,3346f2bbf6c34bd2dbe28bd1bb657d0e9c37392a1d5ec9929e6a5df4763ddc2d,Málaga,290,1990s
115,2025-02-10,9,219.83,app,Valladolid,47001,470,a46e37632fa6ca51a13fe39a567b3c23b28c2f47d8af6be9bd63e030e214ba38,Valladolid,470,1970s
116,2025-01-17,5,146.96,tienda,Madrid,28002,280,da4ea2a5506f2693eae190d9360a1f31793c98a1adade51d93533a6f520ace1c,Madrid,280,2000s
117,2025-02-26,4,20.37,tienda,Valladolid,47002,470,61a229bae1e90331edd986b6bbbe617f7035de88a5bf7c018c3add6c762a6e8d,Valladolid,470,2000s
118,2025-02-10,1,133.08,tienda,Valencia,46002,460,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,Valencia,460,1960s
119,2025-02-07,4,40.3,tienda,Sevilla,41010,410,d4ee9f58e5860574ca98e3b4839391e7a356328d4bd6afecefc2381df5f5b41b,Sevilla,410,1960s
120,2025-02-07,8,236.13,app,Valladolid,47002,470,785f3ec7eb32f30b90cd0fcf3657d388b5ff4297f2f9716ff66e9b69c05ddd09,Valladolid,470,1980s
121,2025-01-24,4,232.39,tienda,Sevilla,41002,410,48449a14a4ff7d79bb7a1b6f3d488eba397c36ef25634c111b49baf362511afc,Sevilla,410,1970s
122,2025-01-06,6,207.35,app,Murcia,30001,300,51e8ea280b44e16934d4d611901f3d3afc41789840acdff81942c2f65009cd52,Murcia,300,1970s
123,2025-01-04,3,109.88,app,Sevilla,41002,410,eb1e33e8a81b697b75855af6bfcdbcbf7cbbde9f94962ceaec1ed8af21f5a50f,Sevilla,410,1990s
124,2025-02-20,8,36.68,tienda,Málaga,29004,290,3a1dfb05d7257530e6349233688c3e121945c5de50f1273a7620537755d61e45,Málaga,290,1970s
125,2025-02-05,6,237.63,web,Madrid,28001,280,3d3286f7cd19074f04e514b0c6c237e757513fb32820698b790e1dec801d947a,Madrid,280,2000s
126,2025-01-02,6,208.33,app,Bilbao,48001,480,8c1f1046219ddd216a023f792356ddf127fce372a72ec9b4cdac989ee5b0b455,Bilbao,480,1990s
127,2025-01-17,8,270.11,app,Málaga,29004,290,c75cb66ae28d8ebc6eded002c28a8ba0d06d3a78c6b5cbf9b2ade051f0775ac4,Málaga,290,1970s
128,2025-02-05,8,91.94,tienda,Zaragoza,50007,500,0e6523810856a138a75dec70a9cf3778a5c70b83ac915f22c33f05db97cb3e68,Zaragoza,500,1970s
129,2025-01-12,6,165.37,app,Sevilla,41010,410,33512007840ced1bb0aab68f47cb5f702abd494a15f26bcbe26a1e47af03d841,Sevilla,410,2000s
130,2025-01-18,10,260.96,app,Valencia,46002,460,6af1f692e9496c6d0b668316eccb93276ae6b6774fa728aac31ff40a38318760,Valencia,460,1960s
131,2025-01-05,8,161.69,web,Murcia,30002,300,bbb965ab0c80d6538cf2184babad2a564a010376712012bd07b0af92dcd3097d,Murcia,300,1970s
132,2025-02-04,1,113.3,app,Valencia,46021,460,13671077b66a29874a2578b5240319092ef2a1043228e433e9b006b5e53e7513,Valencia,460,1990s
133,2025-01-25,1,221.43,app,Valencia,46001,460,39bb88f40d3aa2b2fe9dea67be27c74765db0ebb3ff3cf8fb779af6319fa2045,Valencia,460,1990s
134,2025-02-19,6,187.96,app,Málaga,29010,290,38b2d03f3256502b1e9db02b2d12aa27a46033ffe6d8c0ef0f2cf6b1530be9d8,Málaga,290,1990s
135,2025-02-12,7,290.31,tienda,Valladolid,47001,470,c6f3ac57944a531490cd39902d0f777715fd005efac9a30622d5f5205e7f6894,Valladolid,470,1970s
136,2025-02-13,9,151.78,tienda,Madrid,28012,280,f747870ae666c39b589f577856a0f7198b3b81269cb0326de86d8046f2cf72db,Madrid,280,2000s
137,2025-01-21,6,125.89,tienda,Sevilla,41010,410,be47addbcb8f60566a3d7fd5a36f8195798e2848b368195d9a5d20e007c59a0c,Sevilla,410,2000s
138,2025-02-03,1,199.37,tienda,Sevilla,41002,410,1a6562590ef19d1045d06c4055742d38288e9e6dcd71ccde5cee80f1d5a774eb,Sevilla,410,1980s
139,2025-02-25,2,14.23,web,Málaga,29004,290,8241649609f88ccd2a0a5b233a07a538ec313ff6adf695aa44a969dbca39f67d,Málaga,290,1970s
140,2025-01-07,7,14.39,app,Bilbao,48001,480,8c1f1046219ddd216a023f792356ddf127fce372a72ec9b4cdac989ee5b0b455,Bilbao,480,1990s
141,2025-02-03,10,189.07,web,Murcia,30002,300,c75d3f1f5bcd6914d0331ce5ec17c0db8f2070a2d4285f8e3ff11c6ca19168ff,Murcia,300,1990s
142,2025-01-24,2,70.11,tienda,Málaga,29001,290,5f9c4ab08cac7457e9111a30e4664920607ea2c115a1433d7be98e97e64244ca,Málaga,290,1980s
143,2025-02-11,2,149.96,web,Málaga,29010,290,3346f2bbf6c34bd2dbe28bd1bb657d0e9c37392a1d5ec9929e6a5df4763ddc2d,Málaga,290,1990s
144,2025-01-24,7,169.62,web,Murcia,30002,300,e29c9c180c6279b0b02abd6a1801c7c04082cf486ec027aa13515e4f3884bb6b,Murcia,300,1970s
145,2025-02-22,9,187.0,tienda,Bilbao,48002,480,624b60c58c9d8bfb6ff1886c2fd605d2adeb6ea4da576068201b6c6958ce93f4,Bilbao,480,1960s
146,2025-02-23,4,94.65,app,Valladolid,47001,470,7a61b53701befdae0eeeffaecc73f14e20b537bb0f8b91ad7c2936dc63562b25,Valladolid,470,1970s
147,2025-01-07,9,218.93,web,Sevilla,41002,410,1a6562590ef19d1045d06c4055742d38288e9e6dcd71ccde5cee80f1d5a774eb,Sevilla,410,1980s
148,2025-01-13,4,160.23,app,Murcia,30001,300,29db0c6782dbd5000559ef4d9e953e300e2b479eed26d887ef3f92b921c06a67,Murcia,300,1980s
149,2025-02-05,7,226.01,app,Málaga,29004,290,8241649609f88ccd2a0a5b233a07a538ec313ff6adf695aa44a969dbca39f67d,Málaga,290,1970s
150,2025-02-19,6,193.39,app,Bilbao,48003,480,02d20bbd7e394ad5999a4cebabac9619732c343a4cac99470c03e23ba2bdc2bc,Bilbao,480,1960s
151,2025-02-14,2,201.25,tienda,Sevilla,41001,410,0a2d643bfd24a028cd236e76575d828424ccffbfa47392bd09d8ca9dc85e2f8d,Sevilla,410,1980s
152,2025-02-05,6,123.46,app,Valladolid,47010,470,6e4001871c0cf27c7634ef1dc478408f642410fd3a444e2a88e301f5c4a35a4d,Valladolid,470,2000s
153,2025-02-04,8,299.54,web,Sevilla,41002,410,5316ca1c5ddca8e6ceccfce58f3b8540e540ee22f6180fb89492904051b3d531,Sevilla,410,1960s
154,2025-02-05,6,297.48,web,Bilbao,48002,480,79d6eaa2676189eb927f2e16a70091474078e2117c3fc607d35cdc6b591ef355,Bilbao,480,1990s
155,2025-02-18,6,191.81,app,Valencia,46001,460,fa2b7af0a811b9acde602aacb78e3638e8506dfead5fe6c3425b10b526f94bdd,Valencia,460,1970s
156,2025-02-06,7,165.96,app,Valladolid,47001,470,6affdae3b3c1aa6aa7689e9b6a7b3225a636aa1ac0025f490cca1285ceaf1487,Valladolid,470,1980s
157,2025-01-24,8,288.69,web,Madrid,28012,280,eeca91fd439b6d5e827e8fda7fee35046f2def93508637483f6be8a2df7a4392,Madrid,280,1980s
158,2025-02-16,5,15.23,app,Madrid,28001,280,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,Madrid,280,1990s
159,2025-02-03,5,44.85,tienda,Valencia,46001,460,19581e27de7ced00ff1ce50b2047e7a567c76b1cbaebabe5ef03f7c3017bb5b7,Valencia,460,1980s
160,2025-01-15,6,68.37,tienda,Zaragoza,50001,500,1d0ebea552eb43d0b1e1561f6de8ae92e3de7f1abec52399244d1caed7dbdfa6,Zaragoza,500,2000s
161,2025-02-28,9,168.33,app,Sevilla,41010,410,d4ee9f58e5860574ca98e3b4839391e7a356328d4bd6afecefc2381df5f5b41b,Sevilla,410,1960s
162,2025-01-10,8,32.81,web,Madrid,28001,280,7cb676d57114874e00c536916e6dcad2a5d3cb8c9a5abc06335df359cd9a6ef9,Madrid,280,2000s
163,2025-01-09,10,83.17,tienda,Sevilla,41002,410,48449a14a4ff7d79bb7a1b6f3d488eba397c36ef25634c111b49baf362511afc,Sevilla,410,1970s
164,2025-01-17,2,244.27,app,Valencia,46002,460,2abaca4911e68fa9bfbf3482ee797fd5b9045b841fdff7253557c5fe15de6477,Valencia,460,1980s
165,2025-02-06,2,275.78,app,Zaragoza,50001,500,f8809aff4d69bece79dabe35be0c708b890d7eafb841f121330667b77d2e2590,Zaragoza,500,2000s
166,2025-02-20,8,147.35,app,Valencia,46023,460,73d3f1ba062585bce51f77d70a26be88c44b55d70f81b8bd7e2ded030ca4454a,Valencia,460,1990s
167,2025-02-22,10,272.76,app,Valladolid,47002,470,a0f8b2c4cb1ac82abdb37f0fe5203b97be556c4468c83bba18684d620fd8eaf9,Valladolid,470,2000s
