id,nombre,altura,peso,experiencia_base,es_predeterminado,tipos,habilidades,hp,ataque,defensa,ataque_especial,defensa_especial,velocidad,stat_total,url_sprite,url_imagen_oficial,proporcion_peso_altura,stats_equilibrados,es_dual_tipo,cantidad_habilidades,generacion
22,Fearow,1.2,38.0,155.0,True,"Normal,Flying","Keen-eye,Sniper",65,90,65,61,61,100,442,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/22.png,29.23076923076923,73.33333333333333,1,2,Gen I
23,Ekans,2.0,6.9,58.0,True,Poison,"Intimidate,Shed-skin,Unnerve",35,60,44,40,54,55,288,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/23.png,3.2857142857142856,46.333333333333336,0,3,Gen I
24,Arbok,3.5,65.0,157.0,True,Poison,"Intimidate,Shed-skin,Unnerve",60,95,69,65,79,80,448,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/24.png,18.055555555555554,74.66666666666667,0,3,Gen I
25,Pikachu,0.4,6.0,112.0,True,Electric,"Static,Lightning-rod",35,55,40,50,50,90,320,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/25.png,12.0,43.333333333333336,0,2,Gen I
26,Raichu,0.8,30.0,218.0,True,Electric,"Static,Lightning-rod",60,90,55,90,80,110,485,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/26.png,33.333333333333336,68.33333333333333,0,2,Gen I
27,Sandshrew,0.6,12.0,60.0,True,Ground,"Sand-veil,Sand-rush",50,75,85,20,30,40,300,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/27.png,17.142857142857142,70.0,0,2,Gen I
28,Sandslash,1.0,29.5,158.0,True,Ground,"Sand-veil,Sand-rush",75,100,110,45,55,65,450,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/28.png,26.818181818181817,95.0,0,2,Gen I
29,Nidoran-f,0.4,7.0,55.0,True,Poison,"Poison-point,Rivalry,Hustle",55,47,52,40,40,41,275,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/29.png,14.0,51.333333333333336,0,3,Gen I
30,Nidorina,0.8,20.0,128.0,True,Poison,"Poison-point,Rivalry,Hustle",70,62,67,55,55,56,365,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/30.png,22.22222222222222,66.33333333333333,0,3,Gen I
31,Nidoqueen,1.3,60.0,227.0,True,"Poison,Ground","Poison-point,Rivalry,Sheer-force",90,92,87,75,85,76,505,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/31.png,42.857142857142854,89.66666666666667,1,3,Gen I
32,Nidoran-m,0.5,9.0,55.0,True,Poison,"Poison-point,Rivalry,Hustle",46,57,40,40,40,50,273,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/32.png,15.0,47.666666666666664,0,3,Gen I
33,Nidorino,0.9,19.5,128.0,True,Poison,"Poison-point,Rivalry,Hustle",61,72,57,55,55,65,365,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/33.png,19.5,63.333333333333336,0,3,Gen I
34,Nidoking,1.4,62.0,227.0,True,"Poison,Ground","Poison-point,Rivalry,Sheer-force",81,102,77,85,75,85,505,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/34.png,41.333333333333336,86.66666666666667,1,3,Gen I
35,Clefairy,0.6,7.5,113.0,True,Fairy,"Cute-charm,Magic-guard,Friend-guard",70,45,48,60,65,35,323,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/35.png,10.714285714285715,54.333333333333336,0,3,Gen I
36,Clefable,1.3,40.0,217.0,True,Fairy,"Cute-charm,Magic-guard,Unaware",95,70,73,95,90,60,483,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/36.png,28.57142857142857,79.33333333333333,0,3,Gen I
37,Vulpix,0.6,9.9,60.0,True,Fire,"Flash-fire,Drought",38,41,40,50,65,65,299,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/37.png,14.142857142857144,39.666666666666664,0,2,Gen I
38,Ninetales,1.1,19.9,177.0,True,Fire,"Flash-fire,Drought",73,76,75,81,100,100,505,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/38.png,16.58333333333333,74.66666666666667,0,2,Gen I
39,Jigglypuff,0.5,5.5,95.0,True,"Normal,Fairy","Cute-charm,Competitive,Friend-guard",115,45,20,45,25,20,270,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/39.png,9.166666666666668,60.0,1,3,Gen I
40,Wigglytuff,1.0,12.0,196.0,True,"Normal,Fairy","Cute-charm,Competitive,Frisk",140,70,45,85,50,45,435,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/40.png,10.909090909090908,85.0,1,3,Gen I
41,Zubat,0.8,7.5,49.0,True,"Poison,Flying","Inner-focus,Infiltrator",40,45,35,30,40,55,245,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/41.png,8.333333333333334,40.0,1,2,Gen I
42,Golbat,1.6,55.0,159.0,True,"Poison,Flying","Inner-focus,Infiltrator",75,80,70,65,75,90,455,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/42.png,32.35294117647059,75.0,1,2,Gen I
43,Oddish,0.5,5.4,64.0,True,"Grass,Poison","Chlorophyll,Run-away",45,50,55,75,65,30,320,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/43.png,9.000000000000002,50.0,1,2,Gen I
44,Gloom,0.8,8.6,138.0,True,"Grass,Poison","Chlorophyll,Stench",60,65,70,85,75,40,395,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/44.png,9.555555555555555,65.0,1,2,Gen I
45,Vileplume,1.2,18.6,221.0,True,"Grass,Poison","Chlorophyll,Effect-spore",75,80,85,110,90,50,490,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/45.png,14.307692307692308,80.0,1,2,Gen I
46,Paras,0.3,5.4,57.0,True,"Bug,Grass","Effect-spore,Dry-skin,Damp",35,70,55,45,55,25,285,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/46.png,13.5,53.333333333333336,1,3,Gen I
47,Parasect,1.0,29.5,142.0,True,"Bug,Grass","Effect-spore,Dry-skin,Damp",60,95,80,60,80,30,405,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/47.png,26.818181818181817,78.33333333333333,1,3,Gen I
48,Venonat,1.0,30.0,61.0,True,"Bug,Poison","Compound-eyes,Tinted-lens,Run-away",60,55,50,40,55,45,305,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/48.png,27.27272727272727,55.0,1,3,Gen I
49,Venomoth,1.5,12.5,158.0,True,"Bug,Poison","Shield-dust,Tinted-lens,Wonder-skin",70,65,60,90,75,90,450,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/49.png,7.8125,65.0,1,3,Gen I
50,Diglett,0.2,0.8,53.0,True,Ground,"Sand-veil,Arena-trap,Sand-force",10,55,25,35,45,95,265,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/50.png,2.6666666666666665,30.0,0,3,Gen I
51,Dugtrio,0.7,33.3,149.0,True,Ground,"Sand-veil,Arena-trap,Sand-force",35,100,50,50,70,120,425,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/51.png,41.625,61.666666666666664,0,3,Gen I
52,Meowth,0.4,4.2,58.0,True,Normal,"Pickup,Technician,Unnerve",40,45,35,40,40,90,290,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/52.png,8.4,40.0,0,3,Gen I
53,Persian,1.0,32.0,154.0,True,Normal,"Limber,Technician,Unnerve",65,70,60,65,65,115,440,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/53.png,29.09090909090909,65.0,0,3,Gen I
54,Psyduck,0.8,19.6,64.0,True,Water,"Damp,Cloud-nine,Swift-swim",50,52,48,65,50,55,320,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/54.png,21.77777777777778,50.0,0,3,Gen I
55,Golduck,1.7,76.6,175.0,True,Water,"Damp,Cloud-nine,Swift-swim",80,82,78,95,80,85,500,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/55.png,42.55555555555555,80.0,0,3,Gen I
56,Mankey,0.5,28.0,61.0,True,Fighting,"Vital-spirit,Anger-point,Defiant",40,80,35,35,45,70,305,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/56.png,46.66666666666667,51.666666666666664,0,3,Gen I
57,Primeape,1.0,32.0,159.0,True,Fighting,"Vital-spirit,Anger-point,Defiant",65,105,60,60,70,95,455,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/57.png,29.09090909090909,76.66666666666667,0,3,Gen I
58,Growlithe,0.7,19.0,70.0,True,Fire,"Intimidate,Flash-fire,Justified",55,70,45,70,50,60,350,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/58.png,23.750000000000004,56.666666666666664,0,3,Gen I
59,Arcanine,1.9,155.0,194.0,True,Fire,"Intimidate,Flash-fire,Justified",90,110,80,100,80,95,555,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/59.png,77.5,93.33333333333333,0,3,Gen I
60,Poliwag,0.6,12.4,60.0,True,Water,"Water-absorb,Damp,Swift-swim",40,50,40,40,40,90,300,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/60.png,17.714285714285715,43.333333333333336,0,3,Gen I
61,Poliwhirl,1.0,20.0,135.0,True,Water,"Water-absorb,Damp,Swift-swim",65,65,65,50,50,90,385,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/61.png,18.18181818181818,65.0,0,3,Gen I
62,Poliwrath,1.3,54.0,230.0,True,"Water,Fighting","Water-absorb,Damp,Swift-swim",90,95,95,70,90,70,510,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/62.png,38.57142857142857,93.33333333333333,1,3,Gen I
63,Abra,0.9,19.5,62.0,True,Psychic,"Synchronize,Inner-focus,Magic-guard",25,20,15,105,55,90,310,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/63.png,19.5,20.0,0,3,Gen I
64,Kadabra,1.3,56.5,140.0,True,Psychic,"Synchronize,Inner-focus,Magic-guard",40,35,30,120,70,105,400,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/64.png,40.357142857142854,35.0,0,3,Gen I
65,Alakazam,1.5,48.0,225.0,True,Psychic,"Synchronize,Inner-focus,Magic-guard",55,50,45,135,95,120,500,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/65.png,30.0,50.0,0,3,Gen I
66,Machop,0.8,19.5,61.0,True,Fighting,"Guts,No-guard,Steadfast",70,80,50,35,35,35,305,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/66.png,21.666666666666668,66.66666666666667,0,3,Gen I
67,Machoke,1.5,70.5,142.0,True,Fighting,"Guts,No-guard,Steadfast",80,100,70,50,60,45,405,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/67.png,44.0625,83.33333333333333,0,3,Gen I
68,Machamp,1.6,130.0,227.0,True,Fighting,"Guts,No-guard,Steadfast",90,130,80,65,85,55,505,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/68.png,76.47058823529412,100.0,0,3,Gen I
69,Bellsprout,0.7,4.0,60.0,True,"Grass,Poison","Chlorophyll,Gluttony",50,75,35,70,30,40,300,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/69.png,5.0,53.333333333333336,1,2,Gen I
70,Weepinbell,1.0,6.4,137.0,True,"Grass,Poison","Chlorophyll,Gluttony",65,90,50,85,45,55,390,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/70.png,5.818181818181818,68.33333333333333,1,2,Gen I
71,Victreebel,1.7,15.5,221.0,True,"Grass,Poison","Chlorophyll,Gluttony",80,105,65,100,70,70,490,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/71.png,8.61111111111111,83.33333333333333,1,2,Gen I
72,Tentacool,0.9,45.5,67.0,True,"Water,Poison","Clear-body,Liquid-ooze,Rain-dish",40,40,35,50,100,70,335,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/72.png,45.5,38.333333333333336,1,3,Gen I
73,Tentacruel,1.6,55.0,180.0,True,"Water,Poison","Clear-body,Liquid-ooze,Rain-dish",80,70,65,80,120,100,515,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/73.png,32.35294117647059,71.66666666666667,1,3,Gen I
74,Geodude,0.4,20.0,60.0,True,"Rock,Ground","Rock-head,Sturdy,Sand-veil",40,80,100,30,30,20,300,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/74.png,40.0,73.33333333333333,1,3,Gen I
75,Graveler,1.0,105.0,137.0,True,"Rock,Ground","Rock-head,Sturdy,Sand-veil",55,95,115,45,45,35,390,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/75.png,95.45454545454545,88.33333333333333,1,3,Gen I
76,Golem,1.4,300.0,223.0,True,"Rock,Ground","Rock-head,Sturdy,Sand-veil",80,120,130,55,65,45,495,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/76.png,200.0,110.0,1,3,Gen I
77,Ponyta,1.0,30.0,82.0,True,Fire,"Run-away,Flash-fire,Flame-body",50,85,55,65,65,90,410,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/77.png,27.27272727272727,63.333333333333336,0,3,Gen I
78,Rapidash,1.7,95.0,175.0,True,Fire,"Run-away,Flash-fire,Flame-body",65,100,70,80,80,105,500,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/78.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/78.png,52.77777777777778,78.33333333333333,0,3,Gen I
79,Slowpoke,1.2,36.0,63.0,True,"Water,Psychic","Oblivious,Own-tempo,Regenerator",90,65,65,40,40,15,315,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/79.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/79.png,27.69230769230769,73.33333333333333,1,3,Gen I
80,Slowbro,1.6,78.5,172.0,True,"Water,Psychic","Oblivious,Own-tempo,Regenerator",95,75,110,100,80,30,490,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/80.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/80.png,46.17647058823529,93.33333333333333,1,3,Gen I
81,Magnemite,0.3,6.0,65.0,True,"Electric,Steel","Magnet-pull,Sturdy,Analytic",25,35,70,95,55,45,325,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/81.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/81.png,15.0,43.333333333333336,1,3,Gen I
